title,description,price,currency,surface_m2,rooms,listing_type,seller_name,seller_type,city,category,url,price_raw,price_range
Appartement de luxe à louer à la journée,Excellent appartement à louer à la journée dans la ville de Beni Mellal. Bienvenue.,150,DH,,,Location,,,Béni Mellal,Appartements,https://www.avito.ma/fr/béni_mellal/appartements/Appartement_de_luxe_à_louer_à_la_journée_57710926.htm,150,Budget
Appart neuf avec piscine à 10 min de la mer,"Offrez-vous un séjour dans un cadre moderne, élégant et reposant 
Situé dans une résidence haut standing, cet appartement F2 vous accueille avec tout le confort nécessaire pour vous sentir chez vous à Agadir.

Ce logement lumineux et bien agencé comprend :

Une chambre confortable avec literie haut ",300,DH,,,Vente,,,Hay Mohammadi,Appartements,https://www.avito.ma/fr/hay_mohammadi/appartements/Appart_neuf_avec_piscine_à_10_min_de_la_mer_56681669.htm,300,Budget
appartement meublé Res Rockisland,"Appartement meublé lumineux 
- idéalement situé
Bel appartement meublé avec soin, comprenant un salon avec cuisine entièrement équipée.
Deux chambres :
• une chambre parentale avec salle de bain privative
• une seconde chambre avec lit superposé triple
Une deuxième salle de bain avec douche et bidet",9500,DH,,,Vente,,,La Siesta,Appartements,https://www.avito.ma/fr/la_siesta/appartements/appartement_meublé_Res_Rockisland_57710910.htm,9500,Budget
Villa de luxe 800m² à Hay Riad Rabat,"Une villa de luxe de 800m² à Rabat à Hay Riad avec piscine de 2 façades avec 4 chambres ,",12500000,DH,800.0,4.0,Vente,,,Hay Riad,Villas Et Riads,https://www.avito.ma/fr/hay_riad/villas_et_riads/Villa_de_luxe_800m²_à_Hay_Riad_Rabat_57626171.htm,12500000,Luxury
OPPORTUNITÉ POUR HABITATION OU PROFESSIONNEL,"Appartement à vendre au cœur de la Gironde proche des transports en commun et de toutes les commodités .
Situé au 5ème et dernier étage avec ascenseur , cet appartement est parfaitement adapté à une activité professionnelle telle qu'un cabinet médical , notaire ou avocat .
Un médecin déjà sur place ",1250000,DH,,,Vente,,,La Gironde,Appartements,https://www.avito.ma/fr/la_gironde/appartements/OPPORTUNITÉ_POUR_HABITATION_OU_PROFESSIONNEL_57697397.htm,1250000,Premium
Villa à louer meublée ou vide Izdihar Marrakech,"Belle petite villa de 150 m² en location meublée ou vide située à Hay Izdihar dans une résidence fermée familiale bâtie sur 2 étages 2 façades bien ensoleillée se compose de 2 salons ,1 séjour avec cheminée , 1 belle cuisine bien équipée donne sur une coure , 3 chambres à coucher dont 1 parentale av",14000,DH,150.0,3.0,Location,,,Hay Izdihar,Villas Et Riads,https://www.avito.ma/fr/hay_izdihar/villas_et_riads/Villa_à_louer_meublée_ou_vide_Izdihar_Marrakech_57689886.htm,14000,Budget
Appartement propre à louer à la journée,Appartement meublé à louer à la journée dans la ville de Beni Mellal à un prix très raisonnable,150,DH,,,Location,,,Béni Mellal,Appartements,https://www.avito.ma/fr/béni_mellal/appartements/Appartement_propre_à_louer_à_la_journée_57710927.htm,150,Budget
Appartement à vendre à Adrar,Appartement à vendre à Adrar 4ème étage avec ascenseur superficie 50 prix 550000,450000,DH,50.0,,Vente,,,Cité Adrar,Appartements,https://www.avito.ma/fr/cité_adrar/appartements/Appartement_à_vendre_à_Adrar_57710928.htm,450000,Mid-range
Appartement de 112 m2 Agdal,"Salam, nous avons des appartements de luxe, sécurisés et bien équipés, avec wifi, garage et piscine. Les prix sont à partir des séjours à longue durée et du nombre de personnes. Mon numéro fonctionne pour WhatsApp et Gmail. Soyez les bienvenus.",250,DH,,,Vente,,,Agdal,Appartements,https://www.avito.ma/fr/agdal/appartements/Appartement_de_112_m2_Agdal_29169634.htm,250,Budget
Appartement à louer 111 m² à Casablanca,"Propriétaire direct
À LOUER Superbe appartement neuf 4 pièces 3 chambres
À deux pas du CAF et Anfa Park 150 m, en face de Deloitte Seven Square
Moins de 20´ à pied de CFC tower
12 500 MAD / mois
Dans un emplacement recherché et stratégique, découvrez ce magnifique appartement neuf jamais habité, sit",12000,DH,,3.0,Location,,,Beauséjour,Appartements,https://www.avito.ma/fr/beauséjour/appartements/Appartement_à_louer_111_m²_à_Casablanca_57468022.htm,12000,Budget
VILLA DE PLAIN PIED A 50 Kms de MARRAKECH,"Venez découvrir une villa de charme et de caractère face aux montagnes de l'Atlas, à 20 minutes du désert d'Agafay, à 6 km de la ville d'Amizmiz pour vos courses au quotidien.

Envie d'un havre de paix au milieu des oliviers ? Cette villa est faite pour vous.

Dotée d'une jolie terrasse, d'une pisci",4000000,DH,,,Vente,,,Autre Secteur,Villas Et Riads,https://www.avito.ma/fr/autre_secteur/villas_et_riads/VILLA_DE_PLAIN_PIED_A_50_Kms_de_MARRAKECH_57696751.htm,4000000,Premium
Villa spacieuse avec piscine à vendre – Hay Riad,"Opportunité à saisir 
Superbe villa située dans le quartier très recherché de Hay Riad, idéale pour une famille recherchant espace, confort et emplacement premium.

Superficie terrain 860 m²

Superficie construite environ 800 m² sur 3 niveaux

Sous-sol grande cuisine, salon, chambre, douche et toile",12000000,DH,860.0,,Vente,,,Hay Riad,Villas Et Riads,https://www.avito.ma/fr/hay_riad/villas_et_riads/Villa_spacieuse_avec_piscine_à_vendre___Hay_Riad_57615001.htm,12000000,Luxury
Location Bureau de 50 m2 à Marrakech,"Je mets en location un bureau de 50 m² situé dans un immeuble ancien sans ascenseur, dans le quartier Guéliz à Marrakech, à proximité immédiate du rond-point Majorelle et de l’ANAPEC.

Destiné à un usage exclusivement professionnel, ce local nécessite des travaux de rénovation, offrant la possibilit",6000,DH,50.0,,Location,,,Guéliz,Bureaux,https://www.avito.ma/fr/guéliz/bureaux/Location_Bureau_de_50_m2_à_Marrakech_56620709.htm,6000,Budget
